sct;year;capitaux_propres;passifs_non_courant;total_bilan;stock;creance_client;actif_immobilier;resultat_net;chiffre_d_affaires
APRIL;12.19;617092.0;51876.0;1810781.0;0.0;265878.0;91372.0;29702.0;997238.0
APRR (AUTOROUTES PRR);12.17;121900.0;6612200.0;8171200.0;8500.0;78000.0;7473600.0;332900.0;1833700.0
APRR (AUTOROUTES PRR);12.18;220600.0;6278800.0;7940400.0;8300.0;84500.0;7459000.0;349400.0;2197900.0
APRR (AUTOROUTES PRR);12.19;336200.0;6025700.0;7900800.0;7900.0;94200.0;7455600.0;418900.0;2241500.0
ARCHOS;12.17;40417.0;10735.0;97499.0;41086.0;26122.0;2059.0;-6498.0;114121.0
ARCHOS;12.18;22382.0;10750.0;69856.0;26663.0;18336.0;2874.0;-22994.0;63253.0
ARCHOS;12.19;-9859.0;11354.0;30317.0;3400.0;11532.0;656.0;-36472.0;35380.0
AREVA;12.17;5556000.0;5564000.0;31255000.0;2608000.0;2130000.0;10699000.0;-74000.0;9342000.0
AREVA;12.18;5081000.0;5659000.0;32090000.0;2331000.0;2067000.0;11372000.0;-423000.0;9240000.0
AREVA;12.19;-245000.0;6870000.0;29920000.0;2020000.0;2079000.0;10986000.0;-4845000.0;8336000.0
ARGAN;12.17;517683.0;740511.0;1421513.0;2608000.0;23241.0;10366.0;91682.0;9342000.0
ARGAN;12.18;653477.0;755084.0;1532546.0;2331000.0;17309.0;12175.0;144525.0;9240000.0
ARGAN;12.19;1238726.0;893582.0;2946449.0;2020000.0;40642.0;11805.0;215036.0;8336000.0
ARKEMA;12.17;4474000.0;2250000.0;9576000.0;1145000.0;1115000.0;3645000.0;581000.0;8326000.0
ARKEMA;12.18;5028000.0;2246000.0;10111000.0;1136000.0;1247000.0;3886000.0;715000.0;8816000.0
ARKEMA;12.19;5324000.0;2377000.0;10977000.0;1014000.0;1204000.0;4501000.0;551000.0;8738000.0
ARTMARKET.COM;12.17;17103.0;0.0;18192.0;54.0;81.0;9674.0;734.0;7508.0
ARTMARKET.COM;12.18;18086.0;0.0;19394.0;40.0;141.0;9980.0;1004.0;8134.0
ARTMARKET.COM;12.19;18978.0;207.0;20930.0;29.0;88.0;10263.0;921.0;8354.0
ASSYSTEM;12.17;391700.0;3600.0;590000.0;0.0;160000.0;8300.0;404600.0;395200.0
ASSYSTEM;12.18;386800.0;63100.0;646700.0;0.0;150800.0;12400.0;19900.0;444100.0
ASSYSTEM;12.19;396700.0;107600.0;717100.0;0.0;160800.0;22700.0;27900.0;497500.0
ATARI;12.17;7400.0;2000.0;20000.0;0.0;7300.0;7000.0;7700.0;15400.0
ATARI;12.18;13800.0;700.0;22200.0;200.0;3900.0;9200.0;2300.0;18000.0
ATARI;12.19;22300.0;600.0;33300.0;200.0;3000.0;13500.0;2700.0;20600.0
ATOS;12.17;5226000.0;1241300.0;13484400.0;95200.0;2660300.0;2002300.0;665100.0;12691100.0
ATOS;12.18;8101000.0;4381000.0;21576000.0;133000.0;2965000.0;3538000.0;704000.0;12258000.0
ATOS;12.19;7087000.0;3578000.0;18649000.0;104000.0;2858000.0;2228000.0;3491000.0;11588000.0
AUBAY;12.17;143862.0;11828.0;302967.0;350.0;117677.0;5632.0;23937.0;353568.0
AUBAY;12.18;165410.0;10493.0;326696.0;378.0;115760.0;5964.0;27327.0;400579.0
AUBAY;12.19;184261.0;23520.0;372945.0;411.0;115097.0;29399.0;26409.0;417757.0
AXA;12.17;75267000.0;11828.0;870128000.0;350.0;117677.0;5632.0;6603000.0;353568.0
AXA;12.18;73252000.0;10493.0;930695000.0;378.0;115760.0;5964.0;-373000.0;400579.0
AXA;12.19;74627000.0;23520.0;780878000.0;411.0;115097.0;29399.0;4182000.0;417757.0
AXWAY SOFTWARE;12.17;344127.0;47759.0;551100.0;178.0;71090.0;63306.0;4405.0;299845.0
AXWAY SOFTWARE;12.18;362750.0;41774.0;553808.0;91.0;65565.0;55724.0;10993.0;283832.0
AXWAY SOFTWARE;12.19;362598.0;62104.0;568838.0;0.0;71893.0;46417.0;5406.0;299962.0
BENETEAU;12.17;590641.0;38516.0;1033652.0;219536.0;73254.0;341196.0;60095.0;1208318.0
BENETEAU;12.18;633299.0;32192.0;1319232.0;239777.0;67656.0;358576.0;60390.0;1287197.0
BENETEAU;12.19;644118.0;29867.0;1398089.0;278161.0;90262.0;373841.0;48240.0;1336227.0
BIC;12.17;1703921.0;215.0;2352586.0;428977.0;438731.0;704863.0;288295.0;2020251.0
BIC;12.18;1638126.0;32031.0;2366971.0;449152.0;480491.0;776168.0;173350.0;1949764.0
BIC;12.19;1608082.0;32331.0;2392188.0;455644.0;499377.0;767466.0;176095.0;1949431.0
BIGBEN INTERACTIVE;12.17;125991.0;6100.0;207442.0;48401.0;47850.0;45238.0;9144.0;208067.0
BIGBEN INTERACTIVE;12.18;134603.0;16727.0;223802.0;51660.0;54099.0;50653.0;8241.0;245412.0
BIGBEN INTERACTIVE;12.19;164349.0;35911.0;291949.0;57647.0;61549.0;79607.0;17847.0;245502.0
BIOMERIEUX;12.17;1736700.0;391000.0;2990000.0;380300.0;460100.0;1142100.0;237500.0;2288200.0
BIOMERIEUX;12.18;2003300.0;446800.0;3389600.0;414900.0;490000.0;1314800.0;255500.0;2421300.0
BIOMERIEUX;12.19;2254600.0;153700.0;3781900.0;494700.0;552100.0;1403100.0;269700.0;2674800.0
BLUE SOLUTIONS;12.17;138425.0;34581.0;211195.0;22079.0;8885.0;104953.0;-80.0;109337.0
BLUE SOLUTIONS;12.18;117806.0;34361.0;185117.0;12280.0;7451.0;107049.0;-19204.0;80725.0
BLUE SOLUTIONS;12.19;87697.0;32599.0;175126.0;12282.0;879.0;106119.0;-33369.0;38209.0
BNP PARIBAS;12.17;107209000.0;34581.0;1960252000.0;22079.0;8885.0;104953.0;8207000.0;109337.0
BNP PARIBAS;12.18;105726000.0;34361.0;2040836000.0;12280.0;7451.0;107049.0;8005000.0;80725.0
BNP PARIBAS;12.19;111845000.0;32599.0;2164713000.0;12282.0;879.0;106119.0;8583000.0;38209.0
BOIRON;12.17;517490.0;4793.0;800403.0;60896.0;101821.0;207969.0;78203.0;617540.0
BOIRON;12.18;486043.0;4206.0;767077.0;70747.0;102153.0;221077.0;57454.0;604212.0
BOIRON;12.19;505461.0;9772.0;764283.0;72249.0;104274.0;224819.0;40584.0;557123.0
BOLLORE;12.17;31857900.0;6981900.0;56344700.0;1170900.0;5111700.0;13399400.0;2081500.0;18325200.0
BOLLORE;12.18;28203800.0;8220800.0;55429400.0;1174000.0;5127800.0;12931100.0;1107100.0;23024400.0
BOLLORE;12.19;25942100.0;9285000.0;58169700.0;1358500.0;5229400.0;13425600.0;1408400.0;24843400.0
BONDUELLE;12.17;606507.0;535646.0;2054987.0;573051.0;294933.0;547922.0;59808.0;2288124.0
BONDUELLE;12.18;646817.0;429959.0;2027109.0;576498.0;277496.0;546474.0;72328.0;2776641.0
BONDUELLE;12.19;724972.0;561783.0;2111290.0;627426.0;258945.0;584710.0;72574.0;2777120.0
BOURBON CORP.;12.17;1564300.0;1127500.0;3691100.0;73700.0;448400.0;2520100.0;-43400.0;1329600.0
BOURBON CORP.;12.18;1255500.0;218700.0;3559800.0;83900.0;0.0;2451600.0;-263000.0;1020600.0
BOURBON CORP.;12.19;643600.0;183800.0;2742400.0;65200.0;0.0;1936500.0;-608900.0;793600.0
BOURSORAMA;12.17;652118.0;1127500.0;3603874.0;73700.0;448400.0;2520100.0;4892.0;1329600.0
BOURSORAMA;12.18;694173.0;218700.0;4226408.0;83900.0;0.0;2451600.0;42376.0;1020600.0
BOURSORAMA;12.19;776122.0;183800.0;4839338.0;65200.0;0.0;1936500.0;40232.0;793600.0
BOUYGUES;12.17;10210000.0;5788000.0;35778000.0;3037000.0;6732000.0;8990000.0;1205000.0;32904000.0
BOUYGUES;12.18;11117000.0;5080000.0;37694000.0;3154000.0;8415000.0;9630000.0;1453000.0;35555000.0
BOUYGUES;12.19;11800000.0;5580000.0;39354000.0;3239000.0;8714000.0;9679000.0;1320000.0;37929000.0
BULL REGROUPEMENT;12.17;190300.0;18800.0;815200.0;67100.0;124400.0;80300.0;6600.0;1243100.0
BULL REGROUPEMENT;12.18;176400.0;54900.0;847400.0;73000.0;133700.0;75900.0;16400.0;1300700.0
BULL REGROUPEMENT;12.19;202100.0;48900.0;875200.0;79600.0;133800.0;74200.0;26500.0;1285200.0
BUREAU VERITAS;12.17;1032700.0;2240000.0;5369800.0;19900.0;1363900.0;1126500.0;329800.0;4689400.0
BUREAU VERITAS;12.18;1007600.0;2655700.0;6096300.0;19900.0;1201700.0;1105700.0;355100.0;4795500.0
BUREAU VERITAS;12.19;1322100.0;3244500.0;7049100.0;0.0;1480400.0;1056000.0;392600.0;5099700.0
CANAL PLUS (STE ED);12.17;289000.0;0.0;965000.0;0.0;145000.0;47000.0;49000.0;1857000.0
CANAL PLUS (STE ED);12.18;296000.0;0.0;937000.0;0.0;110000.0;40000.0;42000.0;1878000.0
