,sct,year,capitaux_propres,passifs_non_courant,total_bilan,stock,creance_client,actif_immobilier,resultat_net,chiffre_d_affaires
126,SAM,2017,9583754.0,2397002.0,17601621.0,3241805.0,4841822.0,7783135.0,1330973.0,62527929.588
127,SAM,2018,10911480.0,2381176.0,19759044.0,3844675.0,6060638.0,7673162.0,2536055.0,3347805.281874
128,SAM,2019,11297900.0,2229284.0,20067021.0,4276090.0,6004836.0,7428300.0,1814450.0,5545729.489
129,SANIMED,2017,34915308.0,24787452.0,90315615.0,20795672.0,12415112.0,46821561.0,2168389.0,3551501.799899
130,SANIMED,2018,35153628.0,36862924.0,120637087.0,28745058.0,15997798.0,63078863.0,993092.0,8999368.257575
131,SANIMED,2019,31639726.0,44644502.0,141478112.0,36632283.0,12642423.0,81887881.0,-3753721.0,3766998.9914735
132,SERVICOM,2017,40984476.0,15346131.0,114844694.0,10249044.0,68983509.0,21319293.0,-15079133.0,97356176.540578
133,SERVICOM,2018,32807429.0,21004866.0,48409544.0,11687622.0,50067267.0,9582589.0,-66034208.0,72208863.055
134,SFBT,2017,843076725.0,159769364.0,1340686142.0,224381101.0,241779510.0,524998474.0,172094257.0,172102613.476868
135,SFBT,2018,920697517.0,181056435.0,1459330027.0,273908298.0,250682398.0,585563731.0,177291126.0,177894268.954418
136,SFBT,2019,1002853603.0,215259349.0,1623290239.0,291143994.0,270284000.0,620128477.0,210900466.0,212217544.754284
137,SIAME,2017,23921777.0,1070515.0,42871513.0,14436435.0,11919915.0,12131499.0,1701418.0,3985110.033583
138,SIAME,2018,27924920.0,2615006.0,68961628.0,24609305.0,22663078.0,13993025.0,2735425.0,5297608.875195
139,SIAME,2019,27262713.0,2096049.0,45849228.0,20844639.0,11541606.0,15918930.0,2748591.0,10025413.7053
140,SIMPAR,2017,257100191.0,84059164.0,257100191.0,206275503.0,7436791.0,18250309.0,1007011.0,1820509.38797
141,SIMPAR,2018,272326827.0,96208376.0,272326827.0,210688512.0,238951.0,19409580.0,-2266865.0,3135289.6761
142,SIMPAR,2019,258928315.0,74809729.0,258928315.0,195727469.0,167138.0,17624124.0,-5657978.0,18678229.770164
143,SIPHAT,2017,7386654.0,6777388.0,48710895.0,22767701.0,10792628.0,12173667.0,-7734906.0,38664464.994
144,SOMOCER,2017,78002404.0,39802692.0,286897036.0,68371374.0,72141533.0,117757912.0,3291042.0,239407864.819
145,SOMOCER,2018,81087562.0,50750503.0,346018061.0,82606493.0,101069475.0,122394909.0,5714444.0,200290571.39
146,SOMOCER,2019,79113623.0,57965482.0,345929535.0,92579683.0,85358959.0,130907373.0,533715.0,23323323.9038
147,SOPAT,2017,1780122.0,44202515.0,45982637.0,7538091.0,20856138.0,19255197.0,-5822034.0,8354606.017387
148,SOPAT,2018,2674811.0,51591177.0,54265988.0,8290638.0,22807457.0,23876485.0,916305.0,29846136.566
149,SOPAT,2019,-7445881.0,63176800.0,55730919.0,7665146.0,24865745.0,26715365.0,-7316513.0,9214598.6531
150,SOTEMAIL,2017,27698218.0,10951172.0,90725365.0,17847648.0,11831385.0,51573121.0,395716.0,37642066.304317
